StoreKey,CountryStore,StoreState,SquareMeters,StoreOpenDate,StoreAge(Years)
10,Canada,Nunavut,1210.0,2015-04-04,10
63,United States,Utah,2000.0,2008-03-06,17
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
41,United Kingdom,Fermanagh,2100.0,2013-06-07,12
65,United States,West Virginia,1785.0,2012-01-01,13
65,United States,West Virginia,1785.0,2012-01-01,13
66,United States,Wyoming,840.0,2014-01-01,11
66,United States,Wyoming,840.0,2014-01-01,11
66,United States,Wyoming,840.0,2014-01-01,11
66,United States,Wyoming,840.0,2014-01-01,11
0,Online,Online,0.0,2010-01-01,15
9,Canada,Northwest Territories,1500.0,2005-03-04,20
65,United States,West Virginia,1785.0,2012-01-01,13
29,Italy,Enna,1000.0,2008-01-01,17
29,Italy,Enna,1000.0,2008-01-01,17
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
38,United Kingdom,Belfast,1800.0,2015-04-04,10
33,Netherlands,Friesland,1540.0,2015-12-09,9
43,United States,Alaska,1190.0,2015-01-01,10
43,United States,Alaska,1190.0,2015-01-01,10
29,Italy,Enna,1000.0,2008-01-01,17
38,United Kingdom,Belfast,1800.0,2015-04-04,10
50,United States,Kansas,2000.0,2008-03-06,17
42,United Kingdom,North Down,1900.0,2009-12-15,15
50,United States,Kansas,2000.0,2008-03-06,17
2,Australia,Northern Territory,665.0,2008-01-12,17
2,Australia,Northern Territory,665.0,2008-01-12,17
42,United Kingdom,North Down,1900.0,2009-12-15,15
42,United Kingdom,North Down,1900.0,2009-12-15,15
29,Italy,Enna,1000.0,2008-01-01,17
10,Canada,Nunavut,1210.0,2015-04-04,10
10,Canada,Nunavut,1210.0,2015-04-04,10
10,Canada,Nunavut,1210.0,2015-04-04,10
29,Italy,Enna,1000.0,2008-01-01,17
29,Italy,Enna,1000.0,2008-01-01,17
56,United States,New Hampshire,1260.0,2015-01-01,10
42,United Kingdom,North Down,1900.0,2009-12-15,15
56,United States,New Hampshire,1260.0,2015-01-01,10
0,Online,Online,0.0,2010-01-01,15
53,United States,Montana,1260.0,2012-06-06,13
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
29,Italy,Enna,1000.0,2008-01-01,17
51,United States,Maine,1295.0,2010-01-01,15
51,United States,Maine,1295.0,2010-01-01,15
56,United States,New Hampshire,1260.0,2015-01-01,10
66,United States,Wyoming,840.0,2014-01-01,11
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
53,United States,Montana,1260.0,2012-06-06,13
53,United States,Montana,1260.0,2012-06-06,13
53,United States,Montana,1260.0,2012-06-06,13
53,United States,Montana,1260.0,2012-06-06,13
66,United States,Wyoming,840.0,2014-01-01,11
59,United States,Oregon,2000.0,2012-08-08,13
29,Italy,Enna,1000.0,2008-01-01,17
59,United States,Oregon,2000.0,2012-08-08,13
28,Italy,Caltanissetta,1200.0,2012-12-15,12
57,United States,New Mexico,1645.0,2010-06-03,15
57,United States,New Mexico,1645.0,2010-06-03,15
18,France,Mayotte,310.0,2012-08-08,13
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
56,United States,New Hampshire,1260.0,2015-01-01,10
59,United States,Oregon,2000.0,2012-08-08,13
40,United Kingdom,Dungannon and South Tyrone,1300.0,2012-06-06,13
56,United States,New Hampshire,1260.0,2015-01-01,10
57,United States,New Mexico,1645.0,2010-06-03,15
57,United States,New Mexico,1645.0,2010-06-03,15
56,United States,New Hampshire,1260.0,2015-01-01,10
57,United States,New Mexico,1645.0,2010-06-03,15
57,United States,New Mexico,1645.0,2010-06-03,15
47,United States,Hawaii,1120.0,2015-04-04,10
63,United States,Utah,2000.0,2008-03-06,17
63,United States,Utah,2000.0,2008-03-06,17
42,United Kingdom,North Down,1900.0,2009-12-15,15
56,United States,New Hampshire,1260.0,2015-01-01,10
31,Netherlands,Drenthe,1085.0,2012-01-07,13
63,United States,Utah,2000.0,2008-03-06,17
9,Canada,Northwest Territories,1500.0,2005-03-04,20
9,Canada,Northwest Territories,1500.0,2005-03-04,20
22,Germany,Freistaat Thüringen,2000.0,2008-03-06,17
57,United States,New Mexico,1645.0,2010-06-03,15
66,United States,Wyoming,840.0,2014-01-01,11
66,United States,Wyoming,840.0,2014-01-01,11
31,Netherlands,Drenthe,1085.0,2012-01-07,13
64,United States,Washington DC,1330.0,2010-01-01,15
32,Netherlands,Flevoland,910.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
20,Germany,Brandenburg,1715.0,2012-12-15,12
20,Germany,Brandenburg,1715.0,2012-12-15,12
20,Germany,Brandenburg,1715.0,2012-12-15,12
65,United States,West Virginia,1785.0,2012-01-01,13
56,United States,New Hampshire,1260.0,2015-01-01,10
65,United States,West Virginia,1785.0,2012-01-01,13
8,Canada,Newfoundland and Labrador,2105.0,2014-07-02,11
8,Canada,Newfoundland and Labrador,2105.0,2014-07-02,11
8,Canada,Newfoundland and Labrador,2105.0,2014-07-02,11
37,United Kingdom,Ayrshire,2100.0,2005-03-04,20
37,United Kingdom,Ayrshire,2100.0,2005-03-04,20
28,Italy,Caltanissetta,1200.0,2012-12-15,12
48,United States,Idaho,1540.0,2012-12-15,12
48,United States,Idaho,1540.0,2012-12-15,12
48,United States,Idaho,1540.0,2012-12-15,12
47,United States,Hawaii,1120.0,2015-04-04,10
53,United States,Montana,1260.0,2012-06-06,13
51,United States,Maine,1295.0,2010-01-01,15
6,Australia,Western Australia,2000.0,2010-01-01,15
51,United States,Maine,1295.0,2010-01-01,15
51,United States,Maine,1295.0,2010-01-01,15
4,Australia,Tasmania,2000.0,2010-01-01,15
53,United States,Montana,1260.0,2012-06-06,13
15,France,La Réunion,400.0,2015-01-01,10
16,France,Limousin,385.0,2010-06-03,15
51,United States,Maine,1295.0,2010-01-01,15
24,Germany,Hessen,1855.0,2012-12-15,12
24,Germany,Hessen,1855.0,2012-12-15,12
43,United States,Alaska,1190.0,2015-01-01,10
66,United States,Wyoming,840.0,2014-01-01,11
66,United States,Wyoming,840.0,2014-01-01,11
61,United States,South Carolina,2000.0,2012-12-15,12
61,United States,South Carolina,2000.0,2012-12-15,12
61,United States,South Carolina,2000.0,2012-12-15,12
51,United States,Maine,1295.0,2010-01-01,15
51,United States,Maine,1295.0,2010-01-01,15
15,France,La Réunion,400.0,2015-01-01,10
32,Netherlands,Flevoland,910.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
41,United Kingdom,Fermanagh,2100.0,2013-06-07,12
40,United Kingdom,Dungannon and South Tyrone,1300.0,2012-06-06,13
40,United Kingdom,Dungannon and South Tyrone,1300.0,2012-06-06,13
8,Canada,Newfoundland and Labrador,2105.0,2014-07-02,11
61,United States,South Carolina,2000.0,2012-12-15,12
0,Online,Online,0.0,2010-01-01,15
61,United States,South Carolina,2000.0,2012-12-15,12
36,United Kingdom,Armagh,1300.0,2014-07-02,11
36,United Kingdom,Armagh,1300.0,2014-07-02,11
36,United Kingdom,Armagh,1300.0,2014-07-02,11
36,United Kingdom,Armagh,1300.0,2014-07-02,11
36,United Kingdom,Armagh,1300.0,2014-07-02,11
8,Canada,Newfoundland and Labrador,2105.0,2014-07-02,11
36,United Kingdom,Armagh,1300.0,2014-07-02,11
41,United Kingdom,Fermanagh,2100.0,2013-06-07,12
41,United Kingdom,Fermanagh,2100.0,2013-06-07,12
41,United Kingdom,Fermanagh,2100.0,2013-06-07,12
36,United Kingdom,Armagh,1300.0,2014-07-02,11
0,Online,Online,0.0,2010-01-01,15
8,Canada,Newfoundland and Labrador,2105.0,2014-07-02,11
0,Online,Online,0.0,2010-01-01,15
30,Italy,Pesaro,2100.0,2008-01-12,17
2,Australia,Northern Territory,665.0,2008-01-12,17
2,Australia,Northern Territory,665.0,2008-01-12,17
2,Australia,Northern Territory,665.0,2008-01-12,17
0,Online,Online,0.0,2010-01-01,15
53,United States,Montana,1260.0,2012-06-06,13
53,United States,Montana,1260.0,2012-06-06,13
28,Italy,Caltanissetta,1200.0,2012-12-15,12
28,Italy,Caltanissetta,1200.0,2012-12-15,12
28,Italy,Caltanissetta,1200.0,2012-12-15,12
28,Italy,Caltanissetta,1200.0,2012-12-15,12
2,Australia,Northern Territory,665.0,2008-01-12,17
28,Italy,Caltanissetta,1200.0,2012-12-15,12
28,Italy,Caltanissetta,1200.0,2012-12-15,12
53,United States,Montana,1260.0,2012-06-06,13
50,United States,Kansas,2000.0,2008-03-06,17
50,United States,Kansas,2000.0,2008-03-06,17
53,United States,Montana,1260.0,2012-06-06,13
0,Online,Online,0.0,2010-01-01,15
48,United States,Idaho,1540.0,2012-12-15,12
48,United States,Idaho,1540.0,2012-12-15,12
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
29,Italy,Enna,1000.0,2008-01-01,17
61,United States,South Carolina,2000.0,2012-12-15,12
53,United States,Montana,1260.0,2012-06-06,13
53,United States,Montana,1260.0,2012-06-06,13
29,Italy,Enna,1000.0,2008-01-01,17
6,Australia,Western Australia,2000.0,2010-01-01,15
38,United Kingdom,Belfast,1800.0,2015-04-04,10
6,Australia,Western Australia,2000.0,2010-01-01,15
6,Australia,Western Australia,2000.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
6,Australia,Western Australia,2000.0,2010-01-01,15
42,United Kingdom,North Down,1900.0,2009-12-15,15
42,United Kingdom,North Down,1900.0,2009-12-15,15
6,Australia,Western Australia,2000.0,2010-01-01,15
9,Canada,Northwest Territories,1500.0,2005-03-04,20
63,United States,Utah,2000.0,2008-03-06,17
9,Canada,Northwest Territories,1500.0,2005-03-04,20
9,Canada,Northwest Territories,1500.0,2005-03-04,20
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
63,United States,Utah,2000.0,2008-03-06,17
47,United States,Hawaii,1120.0,2015-04-04,10
19,Germany,Berlin,1295.0,2015-04-04,10
0,Online,Online,0.0,2010-01-01,15
19,Germany,Berlin,1295.0,2015-04-04,10
30,Italy,Pesaro,2100.0,2008-01-12,17
9,Canada,Northwest Territories,1500.0,2005-03-04,20
9,Canada,Northwest Territories,1500.0,2005-03-04,20
9,Canada,Northwest Territories,1500.0,2005-03-04,20
19,Germany,Berlin,1295.0,2015-04-04,10
23,Germany,Hamburg,1365.0,2010-01-01,15
4,Australia,Tasmania,2000.0,2010-01-01,15
27,Germany,Sachsen-Anhalt,2000.0,2008-08-08,17
27,Germany,Sachsen-Anhalt,2000.0,2008-08-08,17
27,Germany,Sachsen-Anhalt,2000.0,2008-08-08,17
0,Online,Online,0.0,2010-01-01,15
23,Germany,Hamburg,1365.0,2010-01-01,15
23,Germany,Hamburg,1365.0,2010-01-01,15
23,Germany,Hamburg,1365.0,2010-01-01,15
65,United States,West Virginia,1785.0,2012-01-01,13
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
65,United States,West Virginia,1785.0,2012-01-01,13
24,Germany,Hessen,1855.0,2012-12-15,12
56,United States,New Hampshire,1260.0,2015-01-01,10
48,United States,Idaho,1540.0,2012-12-15,12
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
0,Online,Online,0.0,2010-01-01,15
12,France,Basse-Normandie,350.0,2012-06-06,13
12,France,Basse-Normandie,350.0,2012-06-06,13
5,Australia,Victoria,2000.0,2015-12-09,9
29,Italy,Enna,1000.0,2008-01-01,17
12,France,Basse-Normandie,350.0,2012-06-06,13
29,Italy,Enna,1000.0,2008-01-01,17
55,United States,Nevada,2000.0,2009-12-15,15
45,United States,Connecticut,2000.0,2007-07-08,18
63,United States,Utah,2000.0,2008-03-06,17
38,United Kingdom,Belfast,1800.0,2015-04-04,10
38,United Kingdom,Belfast,1800.0,2015-04-04,10
6,Australia,Western Australia,2000.0,2010-01-01,15
29,Italy,Enna,1000.0,2008-01-01,17
12,France,Basse-Normandie,350.0,2012-06-06,13
12,France,Basse-Normandie,350.0,2012-06-06,13
